Data	Alga	temperatura	Anfipode	Gastropoda
setembro	Dichotomaria	25.34	3.268231218	0.866278154
setembro	Dichotomaria	25.34	4.921259843	0.874890639
setembro	Dichotomaria	25.34	1.995123033	0.193970295
setembro	Sargassum 	25.34	2.899281482	0.37816715
setembro	Sargassum 	25.34	3.388270727	0.669288045
setembro	Sargassum 	25.34	1.799353702	0.477379553
outubro	Padina 	25.86	4.892966361	0.611620795
outubro	Padina 	25.86	6.344612645	0.333926981
outubro	Padina 	25.86	2.34741784	1.067008109
outubro	Dichotomaria	25.86	7.717132033	0.841868949
outubro	Dichotomaria	25.86	10.9968435	0.814581
outubro	Dichotomaria	25.86	16.75062208	1.153122534
outubro	Sargassum 	25.86	12.81842929	0.528176167
outubro	Sargassum 	25.86	8.962768543	0.60270244
outubro	Sargassum 	25.86	16.7250481	0.493364251
novembro	Padina 	27.67	1.907183725	0.635727908
novembro	Padina 	27.67	0.97799511	1.466992665
novembro	Padina 	27.67	1.669820773	1.892463542
novembro	Dichotomaria	27.67	1.848591549	0.792253521
novembro	Dichotomaria	27.67	4.36415305	0.304475794
novembro	Dichotomaria	27.67	3.738317757	0.778816199
novembro	Sargassum 	27.67	7.579810951	0.289816301
novembro	Sargassum 	27.67	3.018377717	2.101402208
novembro	Sargassum 	27.67	3.146476774	0.641715658
dezembro	Padina 	27.04	9.672023853	5.526870773
dezembro	Padina 	27.04	10.54324518	4.288777698
dezembro	Padina 	27.04	7.327541087	6.071391186
dezembro	Dichotomaria	27.04	6.927531526	1.136548141
dezembro	Dichotomaria	27.04	8.203445447	1.072758251
dezembro	Dichotomaria	27.04	4.43280274	1.329840822
dezembro	Sargassum 	27.04	12.88810779	0.512595196
dezembro	Sargassum 	27.04	8.531978637	0.62958621
dezembro	Sargassum 	27.04	9.255612446	1.920047263
janeiro	Padina 	28.34	1.544076362	4.842784952
janeiro	Padina 	28.34	1.519756839	1.975683891
janeiro	Padina 	28.34	1.034069881	4.952650484
janeiro	Dichotomaria	28.34	0.564294279	1.128588559
janeiro	Dichotomaria	28.34	1.9085993	4.559431662
janeiro	Dichotomaria	28.34	1.137891797	3.861935795
janeiro	Sargassum 	28.34	2.315045802	2.813978087
janeiro	Sargassum 	28.34	1.342238982	5.177207504
janeiro	Sargassum 	28.34	0.615411666	2.505604642
